,type_,address,area,metro_station,metro_line,date,update_date,floor,full_floor,price
883,2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",3.0,Бунинская аллея м.,cyan,Размещено 2 марта,30 марта,8,15,7648357
969,3-комн.кв.,"Радужная ул, 4",79.0,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:39",8,12,9237393
320,3-комн.кв.,"Краснопролетарская ул, 8с3",65.0,Новослободская м.,brown,Размещено 22 марта,"сегодня, 10:03",5,5,36000000
452,3-комн.кв.,"Ямского Поля 5-я ул, 23к1",83.0,Савеловская м.,Ветка не указана,Размещено 15 декабря 2021,"сегодня, 10:39",4,5,31000000
530,2-комн.кв.,"Радужная ул, 4",5.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:17",6,12,7535338
1094,1-комн.кв.,", 1к1",35.0,Станция не указана,Ветка не указана,Размещено 9 февраля,"сегодня, 00:38",27,28,9268571
420,1-комн.кв.,"Совхозная ул, 9",44.0,Ховрино,green,Размещено 27 января,28 марта,8,25,9400000
391,3-комн.кв.,"Малыгина ул, 1к2",67.0,Бабушкинская м.,orange,Размещено 19 февраля,18 марта,4,16,15700000
1177,1-комн.кв.,"Камова ул, д.7к1",8.0,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:41",9,17,6131340
1352,2-комн.кв.,", 1",36.0,Станция не указана,Ветка не указана,Размещено 22 декабря 2021,"сегодня, 00:32",12,17,5717647
1551,2-комн.кв.,"Камова ул, д.7к1",41.0,Станция не указана,Ветка не указана,Размещено 24 ноября 2021,"сегодня, 00:24",6,17,5792058
248,1-комн.кв.,"Проспект Куприна, 34к1",37.0,Ольховая м.,red,Размещено 20 декабря 2021,26 марта,9,14,10300000
405,2-комн.кв.,"Дмитровское ш, 107Ак5",63.0,Селигерская м.,lightgreen,Размещено 11 февраля,"сегодня, 10:39",19,22,22000000
557,2-комн.кв.,"Радужная ул, 4",54.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:30",6,12,7507472
169,2-комн.кв.,"Якушкина проезд, 5",47.0,Отрадное м.,gray,Размещено 19 марта,26 марта,9,9,14700000
1105,1-комн.кв.,", 1к1",37.0,Станция не указана,Ветка не указана,Размещено 9 февраля,"сегодня, 00:38",15,28,9112639
30,3-комн.кв.,"Недорубова ул, 32",93.0,Некрасовка м.,purpledark,Размещено 11 декабря 2021,"сегодня, 00:30",5,23,18105672
1173,2-комн.кв.,", 1",41.0,Станция не указана,Ветка не указана,Размещено 1 февраля,"сегодня, 00:37",9,17,6203628
719,2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",5.0,Бунинская аллея м.,cyan,Размещено 15 марта,"сегодня, 00:10",5,12,14352286
1083,2-комн.кв.,", 1",41.0,Станция не указана,Ветка не указана,Размещено 14 февраля,30 марта,11,17,6220760
928,2-комн.кв.,", 1к1",55.0,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:41",23,28,11710907
190,3-комн.кв.,"Профсоюзная ул, 98к1",59.0,Беляево м.,orange,Размещено 7 марта,"сегодня, 10:39",4,9,17300000
800,2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",40.0,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:11",15,15,9294722
550,2-комн.кв.,", 1",55.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:12",14,17,11105695
202,1-комн.кв.,"Миклухо-Маклая ул, 51к1",3.0,Беляево м.,orange,Размещено 27 февраля,26 марта,8,9,11900000
698,2-комн.кв.,", 3",57.0,Станция не указана,Ветка не указана,Размещено 22 марта,"сегодня, 00:12",16,17,11625519
285,1-комн.кв.,"Чистова ул, 16к3",38.0,Волжская м.,lightgreen,Размещено 27 марта,"сегодня, 10:39",8,18,19500000
597,2-комн.кв.,"Радужная ул, 4",44.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:40",8,12,6505964
21,1-комн.кв.,"Дмитровское ш, 169 3",35.0,Селигерская м.,lightgreen,"сегодня, 10:06","сегодня, 10:06",4,17,10300000
109,1-комн.кв.,"Подольских Курсантов ул, 2к1",33.0,Пражская м.,gray,Размещено 23 марта,30 марта,11,12,9300000
683,1-комн.кв.,"Недорубова ул, 32",33.0,Некрасовка м.,purpledark,Размещено 18 марта,"сегодня, 00:09",16,23,9879119
1091,3-комн.кв.,", 1к1",77.0,Станция не указана,Ветка не указана,Размещено 9 февраля,30 марта,24,28,15877247
1193,2-комн.кв.,", 1",44.0,Станция не указана,Ветка не указана,Размещено 27 января,"сегодня, 00:11",9,10,9485194
1335,3-комн.кв.,", 1",6.0,Станция не указана,Ветка не указана,Размещено 12 февраля,"сегодня, 00:11",13,17,8328127
1555,3-комн.кв.,"Камова ул, д.7к1",51.0,Станция не указана,Ветка не указана,Размещено 09 декабря 2021,"сегодня, 00:30",11,17,9415770
899,2-комн.кв.,"Радужная ул, 4",34.0,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:41",10,12,6253589
629,1-комн.кв.,", 1",33.0,Станция не указана,Ветка не указана,Размещено 22 марта,"сегодня, 00:11",15,17,8038798
863,3-комн.кв.,"Радужная ул, 4",78.0,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:41",10,12,9226170
