,type_,address,area,metro_station,metro_line,date,update_date,floor,full_floor,price
183,3-комн.кв.,"Сретенка ул, 27/29стр8",101.0,Сухаревская м.,orange,Размещено 11 марта,"сегодня, 16:32",5,6,62000000
1226,1-комн.кв.,", 1к1",30.0,Станция не указана,Ветка не указана,Размещено 1 февраля,30 марта,12,28,7597795
217,1-комн.кв.,"60-летия Октября пр-кт, 17",3.0,Академическая м.,Ветка не указана,Размещено 18 февраля,"сегодня, 10:39",33,39,19800000
1430,3-комн.кв.,"Камова ул, д.7к1",53.0,Станция не указана,Ветка не указана,Размещено 29 декабря 2021,"сегодня, 00:33",11,17,9452419
956,1-комн.кв.,"Радужная ул, 4",33.0,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:39",8,12,6519319
313,1-комн.кв.,"Балаклавский пр-кт, 15В",56.0,Чертановская м.,gray,Размещено 23 марта,28 марта,18,19,14200000
1516,2-комн.кв.,"Камова ул, д.7к1",37.0,Станция не указана,Ветка не указана,Размещено 24 ноября 2021,"сегодня, 00:22",12,17,7793512
50,1-комн.кв.,"Удальцова ул, 12",33.0,Пр-т Вернадского м.,Ветка не указана,Размещено 27 февраля,26 марта,8,10,15200000
630,2-комн.кв.,", 1",5.0,Станция не указана,Ветка не указана,Размещено 22 марта,"сегодня, 00:11",17,17,10885309
1050,1-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",34.0,Бунинская аллея м.,cyan,Размещено 15 февраля,"сегодня, 00:33",9,11,7995788
933,2-комн.кв.,", 1к1",55.0,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:41",14,28,11619036
999,3-комн.кв.,"Радужная ул, 4",5.0,Станция не указана,Ветка не указана,Размещено 18 февраля,"сегодня, 00:39",9,12,7675384
1333,1-комн.кв.,", 1",36.0,Станция не указана,Ветка не указана,Размещено 4 января,"сегодня, 00:11",10,15,6703936
627,2-комн.кв.,", 1",50.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:30",10,17,10637618
687,3-комн.кв.,"Зорге ул, 9к1",65.0,Полежаевская м.,purple,Размещено 17 марта,"сегодня, 10:03",7,21,31015300
1242,2-комн.кв.,", 1",41.0,Станция не указана,Ветка не указана,Размещено 15 января,"сегодня, 00:34",8,17,6282562
397,1-комн.кв.,"Алма-Атинская ул, 10к1",39.0,Алма-Атинская м.,green,Размещено 15 февраля,"сегодня, 16:02",6,14,10090000
801,2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",40.0,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:19",11,15,9157717
1047,1-комн.кв.,", 1к1",30.0,Станция не указана,Ветка не указана,Размещено 15 февраля,"сегодня, 00:39",14,28,7883166
833,2-комн.кв.,"Радужная ул, 4",41.0,Станция не указана,Ветка не указана,Размещено 1 марта,"сегодня, 00:21",7,12,6427219
1391,1-комн.кв.,"Недорубова ул, 32",36.0,Некрасовка м.,purpledark,Размещено 11 декабря 2021,"сегодня, 00:30",3,23,10055896
250,1-комн.кв.,"Академика Янгеля ул, 6кА",40.0,Ул.Академика Янгеля м.,gray,Размещено 16 декабря 2021,"сегодня, 10:39",2,16,14500000
363,1-комн.кв.,"Маршала Савицкого ул, 26",4.0,Аннино м.,gray,Размещено 4 марта,28 марта,10,17,8700000
614,1-комн.кв.,"Радужная ул, 4",33.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:23",6,12,6454164
81,3-комн.кв.,"Аптекарский пер, 13",80.0,Бауманская м.,blue,Размещено 26 мая 2015,26 марта,1,5,23000000
1526,2-комн.кв.,"Недорубова ул, 32",49.0,Некрасовка м.,purpledark,Размещено 06 ноября 2021,"сегодня, 00:11",17,17,13191508
1592,1-комн.кв.,"Недорубова ул, 32",3.0,Некрасовка м.,purpledark,Размещено 28 октября 2021,"сегодня, 00:16",11,22,9744524
1044,2-комн.кв.,"Радужная ул, 4",35.0,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:39",12,12,6552140
1104,1-комн.кв.,", 1к1",37.0,Станция не указана,Ветка не указана,Размещено 9 февраля,"сегодня, 00:38",26,28,9305117
1479,3-комн.кв.,", 1к1",69.0,Станция не указана,Ветка не указана,Размещено 09 ноября 2021,"сегодня, 00:14",25,28,14965471
1222,2-комн.кв.,", 2",36.0,Станция не указана,Ветка не указана,Размещено 18 января,"сегодня, 00:35",13,15,8232645
75,3-комн.кв.,"Армавирская ул, 25",51.0,Люблино м.,lightgreen,Размещено 22 марта,"сегодня, 13:07",1,5,16700000
1586,2-комн.кв.,"Камова ул, д.7к1",4.0,Станция не указана,Ветка не указана,Размещено 23 октября 2021,"сегодня, 00:19",15,17,8794505
307,1-комн.кв.,"Зоологическая ул, 32",30.0,Маяковская м.,Ветка не указана,Размещено 24 марта,"сегодня, 10:39",4,9,18700000
1276,1-комн.кв.,", 1к1",6.0,Станция не указана,Ветка не указана,Размещено 2 февраля,"сегодня, 00:38",25,31,7469364
583,2-комн.кв.,", 7",36.0,Станция не указана,Ветка не указана,Размещено 26 марта,30 марта,9,17,7758401
895,2-комн.кв.,"Камова ул, д.7к1",37.0,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:42",9,17,7736397
414,3-комн.кв.,"Алтуфьевское ш, 24В",63.0,Отрадное м.,gray,Размещено 4 февраля,"сегодня, 10:39",11,12,15400000
941,2-комн.кв.,"Недорубова ул, 32",47.0,Некрасовка м.,purpledark,Размещено 23 февраля,"сегодня, 00:39",12,19,12340224
668,2-комн.кв.,", 1",50.0,Станция не указана,Ветка не указана,Размещено 22 марта,"сегодня, 00:21",15,17,10699257
1095,1-комн.кв.,", 1к1",37.0,Станция не указана,Ветка не указана,Размещено 9 февраля,"сегодня, 00:38",24,28,9212945
590,2-комн.кв.,"Радужная ул, 4",54.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:14",6,12,7612303
16,2-комн.кв.,"Летчика Грицевца ул, 6",55.0,Рассказовка м.,yellow,"сегодня, 07:39","сегодня, 07:39",5,14,14500000
1378,2-комн.кв.,", 1",35.0,Станция не указана,Ветка не указана,Размещено 18 января,30 марта,12,17,5612439
32,1-комн.кв.,"Полярная ул, 32к2",38.0,Медведково м.,orange,Размещено 12 февраля,"сегодня, 10:39",2,22,11200000
608,2-комн.кв.,", 7",47.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:22",9,17,9421672
481,1-комн.кв.,"Марьиной Рощи 4-я ул, 12с1",43.0,Марьина роща м.,lightgreen,Размещено 05 октября 2021,26 марта,50,55,18308360
845,1-комн.кв.,", 1",35.0,Станция не указана,Ветка не указана,Размещено 1 марта,"сегодня, 00:20",4,17,5871627
596,2-комн.кв.,"Радужная ул, 4",54.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:39",9,12,7667451
772,3-комн.кв.,", 3",54.0,Станция не указана,Ветка не указана,Размещено 5 марта,"сегодня, 00:40",9,17,7485887
498,2-комн.кв.,", 3",47.0,Станция не указана,Ветка не указана,"сегодня, 00:03","сегодня, 00:03",4,17,7235624
389,2-комн.кв.,"Зорге ул, 18к2",9.0,Зорге м.,Ветка не указана,Размещено 20 февраля,"сегодня, 10:39",6,8,31000000
1407,2-комн.кв.,", 1",35.0,Станция не указана,Ветка не указана,Размещено 14 декабря 2021,"сегодня, 00:30",12,17,5688773
228,2-комн.кв.,"Щербаковская ул, 57/20",57.0,"Измайлово,Партизанская,Семёновская,Соколиная гора",Ветка не указана,Размещено 2 февраля,26 марта,4,10,16000000
1020,3-комн.кв.,"Радужная ул, 4",79.0,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:41",10,12,9327917
1450,1-комн.кв.,"Камова ул, д.7к1",33.0,Станция не указана,Ветка не указана,Размещено 20 ноября 2021,"сегодня, 00:13",17,17,4915526
254,2-комн.кв.,"Авиаконструктора Миля ул, 26",65.0,Котельники м.,purple,Размещено 15 декабря 2021,"сегодня, 10:39",19,25,16800000
1611,2-комн.кв.,"Недорубова ул, 32",66.0,Некрасовка м.,purpledark,Размещено 28 октября 2021,"сегодня, 00:24",16,17,15268794
880,2-комн.кв.,"Радужная ул, 4",49.0,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:41",10,12,7168494
600,3-комн.кв.,", 1",5.0,Станция не указана,Ветка не указана,Размещено 26 марта,30 марта,12,17,7569355
989,2-комн.кв.,"Радужная ул, 4",58.0,Станция не указана,Ветка не указана,Размещено 19 февраля,"сегодня, 00:39",11,11,7757235
140,3-комн.кв.,"Недорубова ул, 18к1",80.0,Лермонтовский пр-т м.,purple,"сегодня, 10:02","сегодня, 10:02",23,25,19500000
1243,3-комн.кв.,", 1",56.0,Станция не указана,Ветка не указана,Размещено 29 января,"сегодня, 00:37",7,12,8651035
450,3-комн.кв.,"Южнобутовская ул, 76",78.0,Бунинская аллея м.,cyan,Размещено 15 декабря 2021,"сегодня, 10:39",11,12,17000000
1321,1-комн.кв.,"Камова ул, д.7к1",37.0,Станция не указана,Ветка не указана,Размещено 4 января,"сегодня, 00:33",10,17,7538089
1053,2-комн.кв.,", 1к1",55.0,Станция не указана,Ветка не указана,Размещено 14 февраля,"сегодня, 00:39",11,28,11557809
29,1-комн.кв.,"Германа Титова ул, 8",36.0,Станция не указана,Ветка не указана,Размещено 27 марта,"сегодня, 19:23",5,16,8800000
746,1-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",4.0,Бунинская аллея м.,cyan,Размещено 12 марта,"сегодня, 00:24",3,13,8796273
968,1-комн.кв.,"Радужная ул, 4",35.0,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:39",12,12,6855372
415,1-комн.кв.,"Паустовского ул, 4",3.0,Ясенево м.,orange,Размещено 3 февраля,"сегодня, 10:39",3,9,10800000
470,1-комн.кв.,"Свободы ул, 73к1",3.0,Планерная м.,purple,Размещено 15 декабря 2021,26 марта,1,12,9200000
870,1-комн.кв.,"Камова ул, д.7к1",4.0,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:41",14,17,7905361
453,1-комн.кв.,"Дмитровское ш, 137к1",35.0,Селигерская м.,lightgreen,Размещено 15 декабря 2021,26 марта,11,14,9950000
1270,2-комн.кв.,", 1",54.0,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:41",16,17,7600996
545,2-комн.кв.,"Радужная ул, 4",5.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:26",6,12,7417678
1532,2-комн.кв.,"Камова ул, д.7к1",4.0,Станция не указана,Ветка не указана,Размещено 28 октября 2021,"сегодня, 00:22",14,17,8781512
56,1-комн.кв.,"Энтузиастов ш, 3к2",44.0,Пл.Ильича м.,yellow,Размещено 12 февраля,"сегодня, 10:39",3,13,21500000
536,1-комн.кв.,", 1к1",31.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:38",26,28,8154338
1283,2-комн.кв.,", 1к1",58.0,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:41",6,28,11179715
1279,2-комн.кв.,", 3",35.0,Станция не указана,Ветка не указана,Размещено 24 февраля,"сегодня, 00:40",15,17,5681450
1204,1-комн.кв.,"Камова ул, д.7к1",4.0,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:41",7,17,7827566
783,2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",37.0,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:38",14,15,8325918
443,2-комн.кв.,"Москворечье ул, 4 корпус 3",53.0,Кантемировская м.,green,Размещено 23 декабря 2021,29 марта,4,17,15500000
1296,1-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",37.0,Бунинская аллея м.,cyan,Размещено 4 января,"сегодня, 00:33",10,11,8677394
323,2-комн.кв.,"Соколово-Мещерская ул, 31",76.0,Планерная м.,purple,Размещено 20 марта,"сегодня, 10:39",2,18,19700000
551,2-комн.кв.,"Радужная ул, 4",34.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:28",6,12,6194198
661,3-комн.кв.,", 1",76.0,Станция не указана,Ветка не указана,Размещено 22 марта,"сегодня, 00:11",16,17,16413765
1500,2-комн.кв.,", 7",38.0,Станция не указана,Ветка не указана,Размещено 14 декабря 2021,"сегодня, 00:31",15,17,8408359
177,3-комн.кв.,"Профсоюзная ул, 25",85.0,Профсоюзная м.,orange,Размещено 16 марта,"сегодня, 10:39",21,24,29999000
33,3-комн.кв.,"Валовая ул, 8/18",84.0,Павелецкая м.,Ветка не указана,Размещено 20 февраля,28 марта,3,11,35500000
1557,1-комн.кв.,"Камова ул, д.7к1",38.0,Станция не указана,Ветка не указана,Размещено 30 октября 2021,"сегодня, 00:13",14,17,7805943
1198,3-комн.кв.,", 3",55.0,Станция не указана,Ветка не указана,Размещено 23 января,"сегодня, 00:13",7,17,10982291
1601,1-комн.кв.,", 1к1",6.0,Станция не указана,Ветка не указана,Размещено 23 ноября 2021,"сегодня, 00:21",14,31,7396989
1322,1-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",7.0,Бунинская аллея м.,cyan,Размещено 4 января,"сегодня, 00:33",10,12,7097651
94,2-комн.кв.,"Перервинский б-р, 21 1",55.0,Братиславская м.,lightgreen,Размещено 17 февраля,28 марта,8,16,13000000
137,3-комн.кв.,"Пудовкина ул, 7",110.0,Парк Победы м.,Ветка не указана,Размещено 05 июля 2021,26 марта,2,17,50500000
1058,1-комн.кв.,", 1к1",37.0,Станция не указана,Ветка не указана,Размещено 3 марта,"сегодня, 00:39",14,28,9099604
648,3-комн.кв.,", 1",58.0,Станция не указана,Ветка не указана,Размещено 22 марта,30 марта,5,17,7731979
1124,3-комн.кв.,", 1к1",77.0,Станция не указана,Ветка не указана,Размещено 9 февраля,"сегодня, 00:38",27,28,16416476
1001,1-комн.кв.,"Радужная ул, 4",35.0,Станция не указана,Ветка не указана,Размещено 18 февраля,"сегодня, 00:39",9,12,6613529
812,2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",36.0,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:23",8,12,8282764
47,2-комн.кв.,"Жигулёвская ул, 10",39.0,Кузьминки м.,purple,Размещено 7 марта,28 марта,8,9,10100000
1541,3-комн.кв.,"Недорубова ул, 32",93.0,Некрасовка м.,purpledark,Размещено 28 октября 2021,"сегодня, 00:15",8,23,18240445
1522,3-комн.кв.,", 3",57.0,Станция не указана,Ветка не указана,Размещено 24 ноября 2021,"сегодня, 00:26",15,17,8739437
1238,2-комн.кв.,", 1",51.0,Станция не указана,Ветка не указана,Размещено 19 февраля,"сегодня, 00:34",8,17,7469584
966,3-комн.кв.,"Радужная ул, 4",79.0,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:39",12,12,9599569
548,2-комн.кв.,", 1к1",55.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:12",26,31,11710018
1122,1-комн.кв.,", 1к1",37.0,Станция не указана,Ветка не указана,Размещено 9 февраля,"сегодня, 00:38",24,28,9278907
848,2-комн.кв.,", 1к1",59.0,Станция не указана,Ветка не указана,Размещено 1 марта,"сегодня, 00:22",11,28,11405253
616,1-комн.кв.,"Радужная ул, 4",35.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:18",6,12,6692658
1274,1-комн.кв.,", 1к1",34.0,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:41",6,28,8526458
64,1-комн.кв.,"Рождественская ул, 27 1",4.0,Некрасовка м.,purpledark,Размещено 21 февраля,25 февраля,25,25,9500000
38,1-комн.кв.,"Радиальная 6-я ул, 35",3.0,Царицыно м.,green,Размещено 13 марта,27 марта,12,16,5500000
1405,3-комн.кв.,", 3",55.0,Станция не указана,Ветка не указана,Размещено 16 января,"сегодня, 00:19",9,17,11084573
1002,1-комн.кв.,", 1к1",37.0,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:40",22,28,9186888
637,2-комн.кв.,", 3",6.0,Станция не указана,Ветка не указана,Размещено 22 марта,"сегодня, 00:21",5,17,12520384
372,3-комн.кв.,"Ленина ул, 11/1",64.0,Станция не указана,Ветка не указана,Размещено 27 февраля,24 марта,9,9,8950000
262,2-комн.кв.,"Яблочкова ул, 41Б",51.0,Петровско-Разумовская м.,Ветка не указана,Размещено 15 декабря 2021,"сегодня, 10:39",10,16,15200000
1062,3-комн.кв.,"Радужная ул, 4",78.0,Станция не указана,Ветка не указана,Размещено 14 февраля,"сегодня, 00:39",9,11,9253856
395,2-комн.кв.,"Старобитцевская ул, 19 кор 1",58.0,Б-р Дмитрия Донского м.,gray,Размещено 16 февраля,26 марта,4,22,13800000
1055,2-комн.кв.,", 1к1",59.0,Станция не указана,Ветка не указана,Размещено 3 марта,"сегодня, 00:13",16,28,11506226
1417,3-комн.кв.,", 3",59.0,Станция не указана,Ветка не указана,Размещено 14 января,"сегодня, 00:34",16,17,8908207
361,3-комн.кв.,"Маршала Федоренко ул, 16/2 к 2",74.0,Ховрино м.,green,Размещено 4 марта,30 марта,8,16,16300000
938,3-комн.кв.,"Радужная ул, 4",53.0,Станция не указана,Ветка не указана,Размещено 23 февраля,"сегодня, 00:40",12,12,7919583
992,2-комн.кв.,"Радужная ул, 4",54.0,Станция не указана,Ветка не указана,Размещено 18 февраля,"сегодня, 00:39",12,12,7947955
508,2-комн.кв.,", 3",47.0,Станция не указана,Ветка не указана,"сегодня, 00:03","сегодня, 00:03",4,17,7314102
1085,3-комн.кв.,", 1к1",70.0,Станция не указана,Ветка не указана,Размещено 14 февраля,"сегодня, 00:35",4,28,14127515
851,1-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",4.0,Бунинская аллея м.,cyan,Размещено 26 февраля,"сегодня, 00:41",10,11,6671806
1186,1-комн.кв.,"Камова ул, д.7к1",33.0,Станция не указана,Ветка не указана,Размещено 29 января,25 марта,8,17,7122707
1607,1-комн.кв.,", 1к1",6.0,Станция не указана,Ветка не указана,Размещено 23 ноября 2021,"сегодня, 00:20",12,31,7375911
1266,1-комн.кв.,", 1к1",30.0,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:41",12,28,7860698
1256,2-комн.кв.,", 1",50.0,Станция не указана,Ветка не указана,Размещено 14 января,"сегодня, 00:34",4,17,6916030
107,3-комн.кв.,"Профсоюзная ул, 98к6",73.0,Беляево м.,orange,Размещено 24 марта,"сегодня, 10:39",14,19,26000000
280,3-комн.кв.,"Рублёвское ш, 52",71.0,Крылатское м.,blue,Размещено 30 марта,"сегодня, 10:39",15,17,25000000
862,2-комн.кв.,"Радужная ул, 4",44.0,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:41",10,12,6537052
322,1-комн.кв.,"Лётная ул, 95Бк2",36.0,Спартак м.,purple,Размещено 20 марта,"сегодня, 10:39",2,17,15300000
1065,2-комн.кв.,", 1к1",55.0,Станция не указана,Ветка не указана,Размещено 14 февраля,"сегодня, 00:39",6,28,11341908
1512,2-комн.кв.,", 3",59.0,Станция не указана,Ветка не указана,Размещено 14 декабря 2021,"сегодня, 00:31",15,17,9070794
367,1-комн.кв.,"Кусковская ул, 27к2",34.0,Перово м.,yellow,Размещено 3 марта,"сегодня, 10:39",7,12,10500000
1550,2-комн.кв.,", 1к1",56.0,Станция не указана,Ветка не указана,Размещено 28 октября 2021,"сегодня, 00:22",22,28,11315042
1390,1-комн.кв.,", 1к1",6.0,Станция не указана,Ветка не указана,Размещено 23 января,"сегодня, 00:36",12,31,7333034
1009,1-комн.кв.,", 1к1",31.0,Станция не указана,Ветка не указана,Размещено 18 февраля,"сегодня, 00:25",22,28,8036178
1376,3-комн.кв.,", 3",59.0,Станция не указана,Ветка не указана,Размещено 14 января,"сегодня, 00:34",9,17,8863256
785,2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",39.0,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:26",15,15,8598065
336,3-комн.кв.,"Косинская ул, 28к3",59.0,Выхино м.,purple,Размещено 17 марта,26 марта,9,9,13200000
1190,2-комн.кв.,", 1",43.0,Станция не указана,Ветка не указана,Размещено 28 января,25 марта,10,17,6475754
355,2-комн.кв.,"Пос. Калинина, 93",47.0,Станция не указана,Ветка не указана,Размещено 7 марта,29 марта,2,5,8700000
147,2-комн.кв.,"Рублёвское ш, 50",53.0,Крылатское м.,blue,Размещено 26 марта,"сегодня, 10:39",4,17,18900000
144,1-комн.кв.,"Елецкая ул, 13",41.0,Зябликово м.,lightgreen,Размещено 27 марта,30 марта,16,16,11500000
1369,2-комн.кв.,", 7",47.0,Станция не указана,Ветка не указана,Размещено 22 января,"сегодня, 00:26",17,17,9466295
972,3-комн.кв.,", 15",6.0,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:09",15,19,13952151
1445,1-комн.кв.,"Камова ул, д.7к1",3.0,Станция не указана,Ветка не указана,Размещено 30 ноября 2021,"сегодня, 00:27",3,17,4943505
978,3-комн.кв.,"Радужная ул, 4",58.0,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:41",10,11,8145927
113,2-комн.кв.,"Красногвардейский 2-й проезд, 8А",53.0,Выставочная м.,lightblue,Размещено 15 марта,"сегодня, 13:06",8,14,24000000
419,1-комн.кв.,", 17к3",39.0,Коломенская м.,green,Размещено 28 января,"сегодня, 10:39",12,15,18650000
1561,2-комн.кв.,", 1к1",55.0,Станция не указана,Ветка не указана,Размещено 30 октября 2021,"сегодня, 00:13",24,31,11734286
1401,2-комн.кв.,"Недорубова ул, 32",71.0,Некрасовка м.,purpledark,Размещено 07 декабря 2021,"сегодня, 00:26",13,23,15450245
541,1-комн.кв.,"Радужная ул, 4",35.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:18",6,12,6566004
964,1-комн.кв.,"Радужная ул, 4",35.0,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:39",8,12,6491468
976,3-комн.кв.,"Радужная ул, 4",58.0,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:39",8,11,8069994
1099,1-комн.кв.,", 1к1",35.0,Станция не указана,Ветка не указана,Размещено 9 февраля,"сегодня, 00:38",19,28,8822585
871,3-комн.кв.,", 1к1",77.0,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:41",20,28,15786978
1538,3-комн.кв.,", 3",58.0,Станция не указана,Ветка не указана,Размещено 24 ноября 2021,"сегодня, 00:26",11,17,8586066
1366,2-комн.кв.,", 3",45.0,Станция не указана,Ветка не указана,Размещено 14 декабря 2021,"сегодня, 00:30",9,17,9071690
10,2-комн.кв.,"Первомайская ул, 49",61.0,Сходненская м.,purple,Размещено 19 марта,26 марта,12,17,10800000
792,3-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",5.0,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:22",2,15,10600042
34,2-комн.кв.,"Шипиловская ул, 43",50.0,Шипиловская м.,lightgreen,Размещено 12 февраля,29 марта,5,16,14150000
16,1-комн.кв.,"Свободный пр-кт, 39к1",33.0,Новогиреево м.,yellow,Размещено 15 декабря 2021,"сегодня, 10:39",1,9,9500000
924,2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",43.0,Бунинская аллея м.,cyan,Размещено 26 февраля,"сегодня, 00:10",12,13,12976349
1426,2-комн.кв.,"Маресьева ул, 6к1",51.0,Некрасовка м.,purpledark,Размещено 11 декабря 2021,"сегодня, 00:09",14,22,14288781
1041,3-комн.кв.,"Радужная ул, 4",78.0,Станция не указана,Ветка не указана,Размещено 15 февраля,"сегодня, 00:39",12,12,9541714
888,2-комн.кв.,"Радужная ул, 4",34.0,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:41",10,12,6583246
469,1-комн.кв.,"Академика Арцимовича ул, 3к1",8.0,Беляево м.,orange,Размещено 15 декабря 2021,23 марта,4,5,9500000
9,3-комн.кв.,"Волховский пер, 21/23",63.0,Бауманская м.,blue,Размещено 5 марта,"сегодня, 10:39",2,5,24400000
1241,2-комн.кв.,", 1",48.0,Станция не указана,Ветка не указана,Размещено 15 января,"сегодня, 00:34",8,17,6910163
1300,1-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",34.0,Бунинская аллея м.,cyan,Размещено 4 января,"сегодня, 00:33",11,11,8034257
445,2-комн.кв.,"Радиальная 6-я ул, 3к6",66.0,Царицыно м.,green,Размещено 22 декабря 2021,"сегодня, 10:39",4,11,16249000
1097,2-комн.кв.,", 1к1",55.0,Станция не указана,Ветка не указана,Размещено 9 февраля,"сегодня, 00:38",19,28,11644525
952,2-комн.кв.,"Радужная ул, 4",5.0,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:39",8,12,7453330
1609,1-комн.кв.,", 1к1",6.0,Станция не указана,Ветка не указана,Размещено 11 ноября 2021,"сегодня, 00:14",10,31,7340809
615,1-комн.кв.,", 1",3.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:23",8,17,5682480
82,3-комн.кв.,"Металлургов ул, 7/18",77.0,Перово м.,yellow,Размещено 29 марта,"сегодня, 13:10",3,5,18500000
7,2-комн.кв.,Щербаковская ул,56.0,Семеновская м.,blue,"сегодня, 13:48","сегодня, 13:48",9,12,20000000
1396,1-комн.кв.,"Недорубова ул, 32",40.0,Некрасовка м.,purpledark,Размещено 08 декабря 2021,"сегодня, 00:15",21,23,10813438
1337,3-комн.кв.,", 1",7.0,Станция не указана,Ветка не указана,Размещено 29 декабря 2021,"сегодня, 00:15",14,15,12039126
53,3-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",50.0,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:29",4,15,10398344
1057,1-комн.кв.,", 1к1",37.0,Станция не указана,Ветка не указана,Размещено 3 марта,"сегодня, 00:31",23,28,9199935
410,1-комн.кв.,,50.0,Станция не указана,Ветка не указана,Размещено 6 февраля,26 марта,5,14,8000000
1399,2-комн.кв.,"Недорубова ул, 32",71.0,Некрасовка м.,purpledark,Размещено 07 декабря 2021,30 марта,21,23,15631546
1584,2-комн.кв.,", 1к1",58.0,Станция не указана,Ветка не указана,Размещено 09 ноября 2021,"сегодня, 00:22",14,28,11391525
1338,1-комн.кв.,"Недорубова ул, 32",40.0,Некрасовка м.,purpledark,Размещено 29 декабря 2021,25 марта,14,23,10766600
1488,1-комн.кв.,"Камова ул, д.7к1",38.0,Станция не указана,Ветка не указана,Размещено 03 декабря 2021,"сегодня, 00:29",9,17,7726051
141,2-комн.кв.,"Нахимовский пр-кт, 14",38.0,Нахимовский пр-т м.,gray,Размещено 30 марта,"сегодня, 10:39",8,9,11650000
1621,1-комн.кв.,", 1к1",31.0,Станция не указана,Ветка не указана,Размещено 21 октября 2021,"сегодня, 00:11",20,28,8013466
171,2-комн.кв.,"Кантемировская ул, 4к1",60.0,Кантемировская м.,green,Размещено 18 марта,"сегодня, 10:39",4,17,16000000
7,2-комн.кв.,"Перерва ул, 14",43.0,Марьино м.,lightgreen,Размещено 25 марта,"сегодня, 13:27",2,9,11300000
12,1-комн.кв.,"Кутузова ул, 11",33.0,Молодежная м.,blue,Размещено 7 марта,"сегодня, 00:15",1,14,9100000
19,2-комн.кв.,"Бирюлёвская ул, 58к1",49.0,Домодедовская м.,green,Размещено 6 марта,29 марта,11,12,13000000
1259,3-комн.кв.,", 1",6.0,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:41",16,17,8325736
1418,3-комн.кв.,", 1к1",74.0,Станция не указана,Ветка не указана,Размещено 30 ноября 2021,"сегодня, 00:24",14,28,15169453
